GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0MFS5	At4g01037	acts_upstream_of_or_within	GO:0015979	photosynthesis	ECO:0000315	IMP	PMID:19251672		3702	TAIR		P
UniProtKB	B9DFX7	PAA2	acts_upstream_of_or_within	GO:0009767	photosynthetic electron transport chain	ECO:0000315	IMP	PMID:15772282		3702	TAIR		P
UniProtKB	B9DHG0	PYG7	acts_upstream_of_or_within	GO:0048564	photosystem I assembly	ECO:0000315	IMP	PMID:16679416		3702	TAIR		P
UniProtKB	B9DHG0	PYG7	involved_in	GO:0048564	photosystem I assembly	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR26312:SF177	3702	TreeGrafter		P
UniProtKB	F4IW47	TKL-2	involved_in	GO:0019253	reductive pentose-phosphate cycle	ECO:0007322	IEA	GO_REF:0000041	UniPathway:UPA00116	3702	UniProt		P
UniProtKB	F4J7A7	PPD7	involved_in	GO:0015979	photosynthesis	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002683	3702	InterPro		P
UniProtKB	F4JGR5	PFP-BETA2	acts_upstream_of_or_within	GO:0015979	photosynthesis	ECO:0000315	IMP	PMID:19533038		3702	TAIR		P
UniProtKB	F4JGR5	PFP-BETA2	involved_in	GO:0015979	photosynthesis	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR43650:SF32	3702	TreeGrafter		P
UniProtKB	F4JHA2	RSH1	acts_upstream_of_or_within	GO:0015979	photosynthesis	ECO:0000314	IDA	PMID:26908759		3702	TAIR		P
UniProtKB	O03042	rbcL	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	O03042	rbcL	involved_in	GO:0019253	reductive pentose-phosphate cycle	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0113	3702	UniProt		P
UniProtKB	O03042	rbcL	involved_in	GO:0019253	reductive pentose-phosphate cycle	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000339182	3702	UniProt		P
UniProtKB	O22609	DEGP1	acts_upstream_of_or_within	GO:0010206	photosystem II repair	ECO:0000315	IMP	PMID:17351117		3702	TAIR		P
UniProtKB	O22682	CS26	acts_upstream_of_or_within	GO:0015979	photosynthesis	ECO:0000315	IMP	PMID:20179139		3702	TAIR		P
UniProtKB	O22773	At4g02530	acts_upstream_of_or_within	GO:0010206	photosystem II repair	ECO:0000315	IMP	PMID:28874535		3702	TAIR		P
UniProtKB	O22773	At4g02530	involved_in	GO:0010206	photosystem II repair	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR038862	3702	InterPro		P
