#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
2-Cys_Prx_B	T10O22.24	3702.Q9C5R8	3702.F4IAP5	0.080	0	0	0	0.165	0	0	0.426	0.520
2-Cys_Prx_B	LPD2	3702.Q9C5R8	3702.F4JLP5	0.042	0	0	0	0.180	0.064	0.170	0.232	0.446
2-Cys_Prx_B	rbcL	3702.Q9C5R8	3702.O03042	0	0	0	0	0.095	0.199	0	0.452	0.568
2-Cys_Prx_B	SAHH1	3702.Q9C5R8	3702.O23255	0	0	0	0	0.274	0	0	0.284	0.457
2-Cys_Prx_B	CPN20	3702.Q9C5R8	3702.O65282	0	0	0	0	0.315	0	0	0.241	0.458
2-Cys_Prx_B	CPN10-2	3702.Q9C5R8	3702.O80504	0	0	0	0	0.279	0	0	0.241	0.429
2-Cys_Prx_B	LHCB1.3	3702.Q9C5R8	3702.P04778	0.060	0	0	0	0.140	0	0	0.401	0.474
2-Cys_Prx_B	RBCS-1B	3702.Q9C5R8	3702.P10796	0	0	0	0	0.209	0	0	0.346	0.460
2-Cys_Prx_B	CPN60A1	3702.Q9C5R8	3702.P21238	0	0	0	0	0.210	0.065	0.083	0.357	0.507
2-Cys_Prx_B	PRK	3702.Q9C5R8	3702.P25697	0	0	0	0	0.253	0	0	0.330	0.478
2-Cys_Prx_B	CFBP1	3702.Q9C5R8	3702.P25851	0	0	0	0	0.304	0	0	0.224	0.436
2-Cys_Prx_B	GAPA1	3702.Q9C5R8	3702.P25856	0	0	0	0	0.337	0	0	0.578	0.708
2-Cys_Prx_B	GAPB	3702.Q9C5R8	3702.P25857	0	0	0	0	0.353	0	0	0.218	0.473
2-Cys_Prx_B	GAPC1	3702.Q9C5R8	3702.P25858	0	0	0	0	0.157	0	0	0.379	0.454
2-Cys_Prx_B	CPN60	3702.Q9C5R8	3702.P29197	0	0	0	0	0.150	0.213	0.083	0.146	0.406
2-Cys_Prx_B	EMB2360	3702.Q9C5R8	3702.P42770	0.042	0	0	0	0.103	0.064	0.170	0.683	0.750
2-Cys_Prx_B	SBPASE	3702.Q9C5R8	3702.P46283	0	0	0	0	0.308	0	0	0.280	0.481
2-Cys_Prx_B	IMPDH	3702.Q9C5R8	3702.P47996	0.109	0	0	0	0	0	0.156	0.292	0.421
2-Cys_Prx_B	CTIMC	3702.Q9C5R8	3702.P48491	0	0	0	0	0.141	0.078	0	0.316	0.411
